,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
301-2269,102.0,2.5,Churchtown Presbyterian Church: 1-3/month<br>First Kilrea Presbyterian Church: 1-3/month<br>Kilrea Baptist Church: 1-3/month<br>Reformed Presbyterian: 1-3/month<br>St Patrick's Church of Ireland Kilrea: 1-3/month,53.0,94.0,54.94844,-6.553629,"Kilrea Primary School, Coleraine",14.0,Zero,14-18 (15-19%),21.5,5.0,0.0,20-23 (21-24%),70.0,187.0589586222845,220.0,94.0,2.5,53.0
301-2284,100.0,45.0,Causeway Coast Vineyard: <1/month<br>Child Evangelism Fellowship: <1/month<br>Coleraine Congregational Church: <1/month<br>Coleraine Methodist Church: <1/month<br>First Coleraine Presbyterian Church: <1/month<br>Portstewart Baptist Church: <1/month<br>Scripture Union: <1/month,22.0,96.0,55.139124,-6.682935,"D H Christie Memorial Primary School, Coleraine",94.0,Zero,94 (30%),126.0,32.0,0.0,126 (40%),146.0,199.49073031087332,222.0,317.0,0.0,22.0
301-2288,114.0,2.5,Child Evangelism Fellowship: termly<br>Coleraine Congregational Church: 4 or 5 visits<br>Hebron Free Presbyterian Church: twice<br>Portrush Gospel Hall: 4 or 5 visits<br>Scripture Union: once<br>Terrace Row Presbyterian Church: 4 or 5 visits<br>The Causeway Vineyard: twice,21.0,78.0,55.107341,-6.657422,"Castleroe Primary School, Coleraine",31.0,Zero,31 (32%),59.0,26.5,0.0,59 (61%),37.0,166.29380029920657,209.0,97.0,0.0,21.0
301-2290,167.0,2.25,"Christ Church, Castledawson: <1/month",4.0,0.0,54.810154,-6.516423,Bellaghy Primary School,2.25,5 or fewer,-3-7 (-5-12%),6.5,2.25,0.0,5-8 (9-14%),48.0,73.26661530556787,100.0,57.0,2.25,4.0
301-2291,127.0,2.5,Culnady Presbyterian Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Magherafelt Free Presbyterian Church: <1/month<br>St Lurach's Church of Ireland Maghera: <1/month<br>Tobermore Baptist: <1/month,16.0,62.0,54.845057,-6.666739,Maghera Primary School,2.5,Zero,1-13 (2-23%),16.5,5.0,0.0,15-18 (26-32%),38.0,143.8792181477815,195.0,57.0,9.0,16.0
301-3301,125.0,16.0,No External Visitors,0.0,64.0,54.68306,-5.950925,"Carnmoney Primary School, Newtownabbey",110.0,5 or fewer,115 (30%),185.0,70.0,5.0,185 (49%),178.0,190.99689437998487,197.0,379.0,0.0,0.0
301-3310,143.0,2.5,"First Broughshane Presbyterian Church, Broughshane: termly<br>Scripture Union: termly<br>Second Broughshane Presbyterian Church, Broughshane: once<br>St. Patrick's Church of Ireland, Broughshane: once",8.0,42.0,54.892277,-6.215488,"Broughshane Primary School, Ballymena",52.0,5 or fewer,52-62 (17-20%),88.5,28.0,0.0,87-90 (29-30%),213.0,152.96340919151518,176.0,304.0,8.5,8.0
301-3315,38.0,8.5,Ballykeel Pentecostal: <1/month<br>Ballykeel Presbyterian: <1/month<br>Coaching for Christ: weekly<br>Crown Jesus Ministries: <1/month<br>Green Pastures: <1/month<br>Harryville Presbyterian Church: <1/month<br>High Kirk Presbyterian: <1/month<br>Scripture Union: 1-3/month<br>St Patrick's Church of Ireland: <1/month<br>Stand By Me: <1/month<br>Wellington Presbyterian Church: <1/month,72.0,201.0,54.858722,-6.258817,"Ballykeel Primary School, Ballymena",97.0,5 or fewer,98-113 (23-27%),134.0,21.0,2.5,134 (32%),284.0,250.64566654039595,252.0,425.0,12.0,72.0
301-3322,129.0,11.5,Hope for Youth Ministries: once<br>Scripture Union: termly,4.0,59.0,54.850952,-6.279737,"Camphill Primary School, Ballymena",73.0,5 or fewer,74-90 (19-24%),129.0,40.0,2.5,129 (34%),240.0,175.98630072715727,192.0,380.0,13.0,4.0
301-3323,103.0,45.0,Ballyhenry Presbyterian: <1/month<br>Glenabbey Church: <1/month<br>Glengormley Presbyterian: <1/month<br>Greenisland Presbyterian: <1/month<br>Scripture Union: <1/month<br>St Bridgid's Church of Ireland: <1/month<br>Stand By Me: <1/month,23.0,91.0,54.675706,-5.971994,Mossgrove Primary School,60.0,8,81-97 (36-43%),111.0,14.0,21.0,111 (50%),67.0,184.9432996920628,219.0,223.0,16.0,23.0
301-3325,127.0,2.5,"1st Presbyterian, Ballymoney: <1/month<br>Hebron Free Presbyterian, Ballymoney: <1/month<br>Scripture Union: <1/month<br>St James Presbyterian, Ballymoney: <1/month<br>St Patrick's C.O.I., Ballymoney: <1/month<br>Trinity Presbyterian, Ballymoney: <1/month",21.0,62.0,55.066464,-6.505247,"Leaney Primary School, Ballymoney",63.0,Zero,64-67 (24-25%),76.5,11.0,2.5,75-78 (28-29%),187.0,164.9465517714065,195.0,266.0,0.0,21.0
301-3330,77.0,6.0,"Child Evangelism Fellowship: <1/month<br>Church of The Good Shepard, Monsktown: <1/month<br>Downshire Presbyterian, Carrickfergus: <1/month<br>Elim, Carrickfergus: <1/month<br>Joymount Presbyterian, Carrickfergus: <1/month<br>Love for Life: <1/month<br>North Street Presbyterian, Carrickfergus: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month",29.0,128.0,54.724088,-5.79499,"Victoria Primary School, Carrickfergus",117.0,5 or fewer,128-147 (30-35%),175.0,28.0,11.0,175 (41%),244.0,219.1813530052456,240.0,425.0,19.0,29.0
301-3331,88.0,2.5,Antrim Gospel Hall: <1/month<br>Crown Jesus Ministries: <1/month<br>Independent Christian Volunteer: <1/month<br>Scripture Union: <1/month<br>St Jude's Church of Ireland: <1/month,15.0,113.0,54.707264,-6.188233,Ballycraigy Primary School,117.0,5 or fewer,118-121 (80-82%),124.0,3.0,2.5,124 (84%),22.0,180.2964910858197,232.0,147.0,0.0,15.0
301-3332,168.0,1.6666666666666667,No External Visitors,0.0,1.0,54.80489,-5.860117,"Toreagh Primary School, Larne",17.0,Zero,13-20 (12-18%),19.5,1.6666666666666667,0.0,18-21 (16-19%),89.0,94.62197768561404,120.0,111.0,1.6666666666666667,0.0
301-3700,53.0,2.5,Dunboe Presbyterian Church: monthly<br>St Marys Church of Ireland: monthly<br>Vineyard: monthly,27.0,166.0,55.103092,-6.701323,"Macosquin Primary School, Coleraine",40.0,5 or fewer,40-151 (21-79%),155.0,2.5,0.0,155 (81%),36.0,206.3632614803888,252.0,192.0,111.0,27.0
301-3704,75.0,0.0,Castledawson Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: c. 24 visits<br>Christ Church Castledawson: 1-3/month<br>Equipping for Life: c. 24 visits<br>Gideons: once<br>Hope for Youth Ministries: twice<br>Scripture Union: 4 or 5 visits,76.0,132.0,54.778099,-6.558798,Castledawson Primary School,8.0,Zero,8 (6%),55.0,47.0,0.0,55 (42%),75.0,242.56797232213245,242.0,130.0,0.0,76.0
301-6005,74.0,7.0,Child Evangelism Fellowship: <1/month<br>Greenisland Baptist: 1-3/month<br>Greenisland Church of Ireland: 1-3/month<br>Greenisland Methodist: 1-3/month<br>Greenisland Presbyterian: 1-3/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month,53.0,133.0,54.691829,-5.869642,"Silverstream Primary School, Greenisland",44.0,5 or fewer,51-59 (35-41%),79.0,20.0,7.0,79 (55%),58.0,196.73479582690445,242.0,144.0,8.0,53.0
301-6014,116.0,37.0,Lylehill Presbyterian Church: 4 or 5 visits<br>St. Patrick's Church of Ireland: 4 or 5 visits<br>Templepatrick Presbyterian Church: 4 or 5 visits,15.0,75.0,54.699951,-6.091665,"Templepatrick Primary School, Ballyclare",113.0,5 or fewer,114-126 (26-29%),155.0,29.0,2.5,155 (35%),250.0,190.99689437998487,207.0,442.0,10.5,15.0
301-6015,111.0,7.5,No External Visitors,0.0,81.0,54.692227,-5.946787,"Mossley Primary School, Newtownabbey",44.0,Zero,45-202 (8-37%),286.0,84.0,2.5,286 (53%),252.0,215.51549800488368,211.0,544.0,154.0,0.0
301-6037,93.0,2.5,Antrim Gospel Hall: <1/month<br>Antrim Methodist Church: <1/month<br>Bible Educational Services: <1/month<br>Crown Jesus Ministries: <1/month<br>First Antrim Presbyterian: <1/month<br>Greystone Road Presbyterian: <1/month<br>Scripture Union: <1/month,21.0,106.0,54.713521,-6.188451,"Greystone Primary School, Antrim",71.0,5 or fewer,87 (51%),97.0,8.5,16.0,97 (57%),73.0,180.89007240571303,228.0,171.0,0.0,21.0
301-6038,36.0,2.5,"Abbey Presbyterian Church: <1/month<br>Bible Educational Services: <1/month<br>Child Evangelism Fellowship: <1/month<br>Church of The Good Shepherd, Monkstown: <1/month<br>Cloughfern Gospel Hall: <1/month<br>Equipping for Life: weekly<br>Monkstown Baptist: <1/month<br>Monkstown Village Initiatives Youth Works: <1/month<br>Scripture Union: <1/month",57.0,216.0,54.685744,-5.908716,"Hollybank Primary School, Monkstown",16.0,5 or fewer,20-85 (11-46%),97.0,14.0,5.5,97 (52%),85.0,219.29135937937943,250.0,185.0,62.0,57.0
301-6040,164.0,2.5,Armoy Presbyterian Church: <1/month<br>Scripture Union: <1/month,6.0,9.0,55.127342,-6.340615,"Armoy Primary School, Ballymoney",11.0,Zero,8-27 (9-29%),26.5,2.5,0.0,25-28 (27-30%),65.0,106.32259154460984,139.0,94.0,13.0,6.0
301-6052,120.0,21.0,"St Patrick's, Coleraine: <1/month<br>Terrace Row Presbyterian Church: <1/month<br>The Vineyard, Coleraine: <1/month",10.0,70.0,55.136238,-6.652296,"Harpurs Hill Primary School, Coleraine",46.0,Zero,47-106 (19-43%),114.0,9.5,2.5,114 (46%),112.0,175.30971290567896,202.0,247.0,56.0,10.0
301-6055,167.0,5.0,Child Evangelism Fellowship: <1/month,3.0,3.0,55.023986,-6.692078,"Gorran Primary School, Coleraine",5.5,Zero,4-8 (4-9%),24.0,16.0,0.0,24 (26%),62.0,99.40788532619725,126.0,91.0,2.5,3.0
301-6058,142.0,12.0,Antrim Baptist Church: <1/month<br>Antrim Gospel Hall: <1/month<br>High Street Presbyterian Antrim: <1/month<br>Scripture Union: <1/month<br>St Patricks Church of Ireland Antrim: <1/month,17.0,44.0,54.721184,-6.201674,"Parkhall Primary School, Antrim",46.0,5 or fewer,51-55 (27-29%),67.0,12.0,6.5,67 (35%),113.0,143.3961922713624,178.0,192.0,2.5,17.0
301-6063,120.0,23.5,"Ballyloughan Church, Ballymena: <1/month<br>Hillside Church, Ballymena: <1/month<br>Scripture Union: <1/month<br>St Patrick's Church, Ballymena: <1/month",14.0,70.0,54.878934,-6.276332,"Dunclug Primary School, Ballymena",46.0,Zero,47-100 (26-54%),125.0,27.0,2.5,125 (68%),35.0,162.78982634255286,202.0,184.0,50.0,14.0
301-6119,152.0,2.3333333333333335,"First Garvagh Presbyterian Church: <1/month<br>Garvagh Free Presbyterian Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Scripture Union: <1/month<br>St Paul's Parish Church, Garvagh: <1/month",16.0,30.0,54.987462,-6.685564,Garvagh Primary School,10.0,Zero,6-15 (6-15%),14.5,2.3333333333333335,0.0,13-16 (13-16%),82.0,130.93604583351976,164.0,99.0,2.3333333333333335,16.0
301-6125,91.0,3.5,Child Evangelism Fellowship: <1/month<br>Coaching for Christ: weekly<br>Crown Jesus Ministries: <1/month<br>Independent Christian Volunteer: <1/month<br>Killymurris Presbyterian Church: <1/month<br>Rasharkin Free Presbyterian Church: <1/month<br>Rasharkin Presbyterian Church: <1/month<br>Scripture Union: <1/month,58.0,108.0,54.954926,-6.479279,Rasharkin Primary School,3.5,Zero,3-6 (5-10%),10.5,6.0,0.0,9-12 (15-20%),47.0,198.0257447708512,229.0,60.0,0.0,58.0
301-6129,82.0,6.0,Ballyloughan Presbyterian Church: termly<br>Bible Educational Services: termly<br>Coaching for Christ: termly<br>Congregational Church: termly<br>Free Presbyterian Church: termly<br>Grange Baptist: termly<br>High Kirk Presbyterian Church: termly<br>Scripture Union: termly<br>St Patrick's Church Ballymena: termly<br>Wellington Presbyterian Church: termly<br>West Church Presbyterian Church: termly,33.0,121.0,54.872217,-6.298818,"Carniny Primary School, Ballymena",87.0,Zero,88-92 (31-32%),123.0,31.0,2.5,123 (43%),159.0,208.3928249678221,237.0,288.0,2.5,33.0
301-6170,130.0,9.0,Ballyhenry Presbyterian Church: twice per term<br>Carmoney Presbyterian Church: twice per term,12.0,57.0,54.680524,-5.970529,"Ballyhenry Primary School, Newtownabbey",63.0,5 or fewer,69 (43%),74.0,5.0,6.0,74 (47%),76.0,159.79984591670362,191.0,159.0,0.0,12.0
301-6225,97.0,1.75,Child Evangelism Fellowship: <1/month<br>Glenabbey Church: <1/month<br>Holy Trinity C.O.I.: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month,16.0,100.0,54.723673,-5.821712,"Woodlawn Primary School, Carrickfergus",91.0,Zero,87-96 (67-74%),97.0,1.75,1.75,97 (75%),31.0,178.2401798946197,224.0,129.0,1.75,16.0
301-6244,76.0,25.0,"Ballyhenry Presbyterian Church, Newtownabbey: monthly<br>Carnmoney Presbyterian Church, Newtownabbey: monthly<br>Glenabbey Church, Newtownabbey: monthly<br>Love for Life: twice",29.0,130.0,54.675534,-5.951615,"Ashgrove Primary School, Newtownabbey",154.0,5 or fewer,174-184 (46-49%),222.0,38.0,20.0,222 (59%),129.0,218.21264569629747,241.0,376.0,10.0,29.0
301-6249,94.0,2.5,"Child Evangelism Fellowship: <1/month<br>Church of The Holy Spirit, Mossley: <1/month<br>Glenabbey Church: <1/month<br>Mossley Methodist Church: <1/month<br>New Mossley Presbyterian: <1/month<br>Scripture Union: <1/month",19.0,104.0,54.688617,-5.957531,"Earlview Primary School, Newtownabbey",98.0,5 or fewer,99-102 (53-54%),106.0,6.0,2.5,106 (56%),79.0,190.46480666623583,227.0,188.0,0.0,19.0
301-6252,49.0,12.0,"1st Coleraine Presbyterian Church: <1/month<br>Ballysally Presbyterian Church: weekly<br>Coleraine Baptist Church: <1/month<br>Coleraine Congregational Church: <1/month<br>Portstewart Baptist Church: <1/month<br>Scripture Union: <1/month<br>St Andrew's Church of Ireland, Ballysally: <1/month<br>Terrace Row Presbyterian Church: <1/month<br>Vineyard Church, Coleraine: <1/month",58.0,173.0,55.146392,-6.660737,"Ballysally Primary School, Coleraine",61.0,Zero,61-119 (22-42%),131.0,12.0,0.0,131 (46%),139.0,222.80825208840932,252.0,282.0,58.0,58.0
301-6257,118.0,4.0,Child Evangelism Fellowship: <1/month<br>Joymount Presbyterian: <1/month<br>Scripture Union: <1/month<br>St. Nicholas: <1/month<br>Stand By Me: <1/month<br>Woodlands Presbyterian: <1/month,19.0,72.0,54.734919,-5.807569,"Oakfield Primary School, Carrickfergus",63.0,5 or fewer,64-71 (22-25%),117.0,50.0,2.5,117 (41%),163.0,180.49419402571584,204.0,285.0,2.5,19.0
301-6260,132.0,5.0,Ballynaloob Gospel Hall: <1/month<br>Ballyweaney Presbyterian Church: <1/month<br>Cloughmills Free Presbyterian Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Killagan Parish Church: <1/month<br>Scripture Union: <1/month,20.0,55.0,54.997223,-6.330208,Cloughmills Primary School,18.0,Zero,17-24 (21-30%),25.0,2.3333333333333335,2.3333333333333335,25 (31%),50.0,145.73831723236316,189.0,80.0,2.3333333333333335,20.0
301-6264,39.0,45.0,"Coleraine Baptist Church: monthly<br>First Coleraine Presbyterian Church, Coleraine: monthly<br>New Row Presbyterian Church, Coleraine: twice monthly<br>St Patrick's Church, Coleraine: twice monthly<br>Terrace Row Presbyterian Church, Coleraine: monthly<br>The Causeway Coast Vineyard, Coleraine: monthly",72.0,196.0,55.121472,-6.659095,"The Irish Society's Primary School, Coleraine",86.0,5 or fewer,98-119 (21-26%),196.0,77.0,12.0,196 (43%),220.0,249.6360626126775,253.0,461.0,21.0,72.0
